CarbonDioxide,Humidity,Light,Sound,Temperature
437.0,30.0,0.0,10.0,19.5
439.0,29.0,0.0,9.0,19.5
438.0,29.0,0.0,10.0,19.6
438.0,29.0,0.0,10.0,19.6
440.0,29.0,0.0,10.0,19.6
435.0,29.0,0.0,10.0,19.6
438.0,29.0,0.0,10.0,19.6
434.0,29.0,0.0,10.0,19.6
434.0,29.0,0.0,9.0,19.6
439.0,29.0,0.0,9.0,19.6
434.0,29.0,0.0,10.0,19.6
433.0,29.0,0.0,9.0,19.6
435.0,29.0,0.0,10.0,19.6
440.0,29.0,0.0,10.0,19.6
434.0,29.0,0.0,10.0,19.6
433.0,29.0,0.0,10.0,19.6
432.0,28.0,0.0,11.0,19.6
438.0,28.0,0.0,11.0,19.6
434.0,28.0,0.0,11.0,19.6
430.0,28.0,0.0,11.0,19.6
435.0,28.0,45.0,11.0,19.6
431.0,28.0,44.0,10.0,19.6
428.0,28.0,44.0,11.0,19.7
428.0,28.0,44.0,12.0,19.7
429.0,28.0,44.0,11.0,19.7
434.0,28.0,44.0,11.0,19.7
426.0,28.0,46.0,12.0,19.8
433.0,28.0,44.0,12.0,19.8
433.0,28.0,45.0,11.0,19.8
428.0,28.0,45.0,12.0,19.8
489.0,28.5,47.0,34.666666666666664,19.933333333333334
604.0,30.0,48.0,29.0,20.2
651.5,31.0,46.66666666666666,45.66666666666666,20.33333333333333
651.0,31.0,46.0,11.0,20.4
610.0,31.0,46.0,11.0,20.3
572.0,31.0,46.0,12.0,20.2
549.0,30.0,45.0,16.0,20.2
597.0,30.0,43.0,26.0,20.2
587.0,30.0,48.0,12.0,20.3
593.0,30.0,47.0,18.0,20.4
588.0,30.0,45.0,20.0,20.5
579.0,30.0,45.0,18.0,20.6
608.0,30.0,45.0,31.0,20.6
619.0,30.0,45.0,38.0,20.7
601.0,31.0,45.0,28.0,20.7
583.0,31.0,45.0,23.0,20.7
579.0,31.0,45.0,15.0,20.7
585.0,31.0,44.0,34.0,20.8
575.0,31.0,44.0,17.0,20.8
554.0,31.0,44.0,53.0,20.7
534.0,31.0,44.0,17.0,20.7
519.0,31.0,44.0,13.0,20.6
518.0,31.0,43.0,25.0,20.6
502.0,31.0,43.0,10.0,20.6
493.0,31.0,44.0,11.0,20.5
495.0,31.0,44.0,10.0,20.5
496.0,31.0,44.0,11.0,20.6
495.0,31.0,44.0,11.0,20.6
493.0,31.0,0.0,25.0,20.5
479.0,31.0,0.0,34.0,20.5
470.0,31.0,44.0,10.0,20.5
464.0,31.0,44.0,10.0,20.5
456.0,31.0,0.0,10.0,20.5
447.0,31.0,0.0,10.0,20.5
444.0,31.0,0.0,10.0,20.5
439.0,31.0,0.0,10.0,20.4
441.0,31.0,0.0,9.0,20.4
438.0,31.0,0.0,10.0,20.4
438.0,31.0,0.0,9.0,20.4
435.0,31.0,0.0,10.0,20.4
432.0,31.0,0.0,10.0,20.4
427.0,31.0,0.0,10.0,20.4
426.0,31.0,0.0,10.0,20.4
429.0,31.0,0.0,9.0,20.4
428.0,31.0,0.0,10.0,20.3
428.0,31.0,0.0,10.0,20.4
424.0,31.0,0.0,10.0,20.4
427.0,31.0,0.0,9.0,20.4
426.0,31.0,0.0,10.0,20.4
427.0,31.0,0.0,10.0,20.4
422.0,31.0,0.0,10.0,20.4
424.0,31.0,0.0,9.0,20.3
427.0,31.0,0.0,22.0,20.3
423.0,31.0,0.0,9.0,20.3
425.0,31.0,0.0,9.0,20.3
422.0,31.0,0.0,10.0,20.3
420.0,31.0,0.0,10.0,20.3
420.0,31.0,0.0,10.0,20.3
419.0,31.0,0.0,10.0,20.3
416.0,31.0,0.0,10.0,20.3
426.0,31.0,0.0,10.0,20.3
421.0,31.0,0.0,10.0,20.3
416.0,31.0,0.0,10.0,20.3
416.0,31.0,0.0,9.0,20.3
416.0,31.0,0.0,9.0,20.3
425.0,31.0,0.0,10.0,20.3
424.0,31.0,0.0,9.0,20.3
426.0,31.0,0.0,10.0,20.3
423.0,31.0,0.0,12.0,20.3
431.0,31.0,42.0,11.0,20.3
431.0,31.0,42.0,11.0,20.3
432.0,31.0,42.0,86.0,20.3
435.0,31.0,41.0,11.0,20.3
431.0,31.0,42.0,11.0,20.3
430.0,32.0,42.0,12.0,20.4
436.0,32.0,42.0,31.0,20.4
440.0,32.0,43.0,11.0,20.4
435.0,32.0,42.0,12.0,20.4
438.0,32.0,42.0,10.0,20.4
436.0,32.0,43.0,13.0,20.4
441.0,32.0,43.0,11.0,20.5
442.0,32.0,43.0,11.0,20.5
437.0,32.0,43.0,11.0,20.5
443.0,32.0,44.0,12.0,20.5
438.0,32.0,44.0,11.0,20.5
436.0,32.0,44.0,12.0,20.5
440.0,32.0,43.0,10.0,20.5
436.0,32.0,43.0,12.0,20.5
437.0,33.0,44.0,12.0,20.5
432.0,33.0,43.0,12.0,20.5
438.0,33.0,43.0,12.0,20.5
440.0,33.0,43.0,11.0,20.5
441.0,33.0,43.0,11.0,20.5
440.0,33.0,43.0,12.0,20.5
448.0,33.0,43.0,12.0,20.6
449.0,33.0,43.0,83.0,20.6
445.0,33.0,43.0,11.0,20.6
450.0,33.0,43.0,11.0,20.6
452.0,33.0,43.0,12.0,20.6
457.0,33.0,43.0,12.0,20.6
448.0,34.0,43.0,11.0,20.6
449.0,34.0,43.0,11.0,20.6
449.0,34.0,42.0,12.0,20.6
445.0,34.0,42.0,12.0,20.7
445.0,34.0,43.0,12.0,20.7
452.0,34.0,42.0,12.0,20.7
442.0,34.0,42.0,13.0,20.7
433.0,34.0,42.0,12.0,20.7
442.0,34.0,0.0,45.0,20.7
437.0,34.0,42.0,11.0,20.7
439.0,34.0,42.0,11.0,20.7
441.0,34.0,42.0,11.0,20.7
444.0,34.0,42.0,13.0,20.7
439.0,34.0,42.0,12.0,20.6
432.0,33.0,42.0,12.0,20.6
442.0,33.0,42.0,15.0,20.6
436.0,33.0,42.0,99.0,20.6
439.0,33.0,42.0,11.0,20.6
433.0,33.0,42.0,12.0,20.6
437.0,33.0,0.0,12.0,20.6
440.0,33.0,0.0,11.0,20.6
442.0,33.0,0.0,11.0,20.6
440.0,33.0,0.0,10.0,20.6
443.0,33.0,0.0,9.0,20.5
439.0,33.0,0.0,10.0,20.5
448.0,33.0,0.0,10.0,20.5
442.0,33.0,0.0,10.0,20.5
442.0,33.0,0.0,9.0,20.5
442.0,32.0,0.0,66.0,20.5
443.0,32.0,0.0,9.0,20.5
438.0,32.0,0.0,87.0,20.5
437.0,32.0,0.0,9.0,20.5
448.0,32.0,0.0,10.0,20.5
439.0,32.0,0.0,10.0,20.5
435.0,32.0,0.0,9.0,20.5
436.0,32.0,0.0,9.0,20.5
436.0,32.0,0.0,10.0,20.5
432.0,32.0,0.0,10.0,20.5
428.0,32.0,0.0,10.0,20.5
430.0,32.0,0.0,10.0,20.5
426.0,31.0,0.0,9.0,20.5
426.0,31.0,0.0,9.0,20.5
427.0,31.0,0.0,9.0,20.5
431.0,31.0,0.0,10.0,20.5
425.0,31.0,0.0,10.0,20.5
427.0,31.0,0.0,9.0,20.5
429.0,31.0,0.0,9.0,20.5
425.0,31.0,0.0,9.0,20.5
428.0,30.0,0.0,10.0,20.5
425.0,30.0,0.0,9.0,20.5
424.0,30.0,0.0,9.0,20.5
421.0,30.0,0.0,9.0,20.5
429.0,30.0,0.0,9.0,20.5
421.0,30.0,0.0,10.0,20.5
421.0,30.0,0.0,11.0,20.5
425.0,29.0,0.0,11.0,20.5
428.0,29.0,0.0,11.0,20.5
424.0,29.0,0.0,11.0,20.5
426.0,29.0,0.0,18.0,20.5
427.0,29.0,0.0,25.0,20.5
422.0,29.0,0.0,11.0,20.5
424.0,29.0,49.0,10.0,20.5
426.0,29.0,48.0,11.0,20.5
433.0,29.0,48.0,11.0,20.5
429.0,28.0,48.0,12.0,20.5
437.0,28.0,48.0,12.0,20.5
431.0,28.0,47.0,11.0,20.5
431.0,28.0,48.0,12.0,20.5
430.0,28.0,48.0,11.0,20.5
431.0,28.0,48.0,11.0,20.6
439.0,29.0,48.0,11.0,20.6
437.0,29.0,48.0,12.0,20.6
432.0,29.0,48.0,11.0,20.6
438.0,29.0,49.0,11.0,20.6
435.0,29.0,49.0,11.0,20.6
432.0,29.0,48.0,12.0,20.6
433.0,30.0,50.0,11.0,20.6
433.0,30.0,49.0,11.0,20.7
436.0,30.0,49.0,11.0,20.7
443.0,30.0,49.0,11.0,20.7
